Name,Braid Notation,Positive,Q-Positive
10_135,{-1;-1;-1;-2;1;-2;3;2;2;2;3},N,N
10_136,[{-1;-1;-2;3;-2;1;-2;-2;3;2;2};{-1;2;-1;2;3;-2;-2;-4;3;-4}],N,N
10_137,{1;-2;1;-2;3;2;2;-4;3;-4},N,N
10_138,{-1;2;-1;2;3;2;2;-4;3;-4},N,N
10_139,{1;1;1;1;2;1;1;1;2;2},Y,Y
10_140,{-1;-1;-1;2;1;1;1;2;3;-2;3},N,Y
10_141,{-1;-1;-1;-1;2;1;1;1;2;2},N,N
10_142,{1;1;1;2;1;1;1;2;3;-2;3},Y,Y
10_143,{-1;-1;-1;-1;-2;1;1;1;-2;-2},N,Y
10_144,{1;1;2;-1;2;1;-3;2;1;-3;-2},N,N
10_145,{-1;-1;-2;1;-2;-1;-3;-2;1;-2;-3},N,Y
10_146,{-1;-1;2;-1;2;1;-3;2;-1;2;-3},N,N
10_147,{1;1;1;-2;1;-2;-3;2;-1;2;-3},N,N
10_148,{-1;-1;-1;-1;-2;1;1;-2;1;-2},N,Y
10_149,{1;1;1;1;2;-1;2;-1;2;2},N,Y
10_150,{1;1;1;-2;1;1;3;-2;-1;3;2},N,N
10_151,{-1;-1;-1;-2;1;1;-3;2;-1;-3;2},N,N
10_152,{1;1;1;2;2;1;1;2;2;2},Y,Y
10_153,{-1;-1;-1;-2;-1;-1;3;2;2;2;3},N,N
10_154,{1;1;2;-1;2;1;3;2;2;2;3},Y,Y
10_155,{-1;-1;-1;-2;1;1;-2;1;1;-2},N,Y
10_156,{-1;-1;-1;2;1;1;-3;-2;1;-2;-3},N,N
10_157,{-1;-1;-1;-2;-2;1;-2;1;-2;-2},N,Y
10_158,{-1;-1;-1;-2;1;1;3;2;-1;2;3},N,N
10_159,{1;1;1;2;-1;2;-1;-1;2;2},N,Y
10_160,{1;1;1;2;1;1;-3;2;-1;2;-3},N,N
10_161,{1;1;1;2;-1;2;1;1;2;2},Y,Y
10_162,{-1;-1;-2;1;1;-2;-2;-1;3;-2;3},N,N
10_163,{1;1;-2;-1;-1;3;2;-1;2;2;3},N,N
10_164,{1;1;-2;1;-2;-2;-3;2;-1;2;-3},N,N
10_165,{-1;-1;-2;1;3;-2;1;-2;-3;-3;-2},N,Y
