Name,Jones (vector)
10_156,{-6; 2; -1; 3; -5; 6; -6; 6; -4; 3; -1}
10_157,{-10; -2; 1; -4; 6; -8; 9; -8; 7; -4; 2}
10_158,{-4; 4; 1; -3; 6; -7; 8; -8; 6; -4; 2}
10_159,{0; 8; -1; 4; -5; 7; -7; 6; -5; 3; -1}
10_160,{0; 7; 1; -2; 3; -3; 4; -3; 3; -2}
10_161,{3; 11; 1; 0; 0; 1; -1; 1; -1; 1; -1}
10_162,{-7; 1; 1; -2; 4; -6; 6; -6; 5; -3; 2}
10_163,{-2; 6; -1; 4; -6; 8; -9; 9; -7; 5; -2}
10_164,{-5; 3; -1; 3; -5; 7; -8; 8; -6; 5; -2}
10_165,{-9; -1; 1; -3; 4; -6; 7; -6; 6; -4; 2}
11a_1,{-3; 8; 1; -3; 7; -12; 17; -20; 21; -18; 14; -9; 4; -1}
11a_2,{0; 11; 1; -3; 8; -13; 19; -22; 22; -20; 15; -9; 4; -1}
11a_3,{-8; 3; -1; 3; -7; 12; -16; 19; -18; 16; -12; 7; -3; 1}
11a_4,{-7; 4; -1; 3; -6; 10; -13; 15; -15; 14; -10; 6; -3; 1}
11a_5,{-6; 5; 1; -3; 7; -12; 17; -20; 20; -18; 14; -8; 4; -1}
11a_6,{-3; 8; 1; -3; 7; -12; 18; -21; 22; -20; 15; -10; 5; -1}
11a_7,{-8; 3; -1; 3; -6; 10; -13; 15; -15; 13; -9; 6; -3; 1}
11a_8,{-7; 4; -1; 3; -6; 11; -15; 18; -19; 17; -13; 9; -4; 1}
11a_9,{-2; 9; 1; -2; 4; -6; 8; -9; 10; -9; 7; -5; 3; -1}
11a_10,{-3; 8; 1; -3; 7; -11; 15; -17; 17; -15; 11; -6; 3; -1}
11a_11,{-5; 6; -1; 3; -6; 11; -15; 18; -18; 16; -12; 8; -4; 1}
11a_12,{-3; 8; 1; -2; 5; -9; 13; -16; 17; -15; 12; -8; 4; -1}
11a_13,{-4; 7; 1; -2; 4; -6; 8; -9; 9; -8; 6; -4; 3; -1}
11a_14,{-5; 6; -1; 3; -8; 14; -18; 22; -21; 19; -14; 8; -4; 1}
11a_15,{-7; 4; 1; -3; 7; -12; 15; -17; 17; -14; 11; -6; 3; -1}
11a_16,{-6; 5; 1; -3; 7; -11; 14; -17; 17; -14; 11; -6; 3; -1}
11a_17,{-3; 8; 1; -3; 8; -13; 17; -20; 20; -17; 13; -7; 3; -1}
11a_18,{-2; 9; -1; 3; -7; 13; -17; 21; -20; 18; -14; 8; -4; 1}
11a_19,{-3; 8; 1; -4; 10; -16; 22; -25; 25; -22; 16; -9; 4; -1}
11a_20,{0; 11; 1; -2; 6; -10; 15; -18; 18; -17; 13; -8; 4; -1}
11a_21,{-1; 10; 1; -2; 5; -7; 10; -12; 11; -10; 8; -5; 3; -1}
11a_22,{-1; 10; -1; 3; -6; 11; -13; 16; -16; 14; -11; 6; -3; 1}
11a_23,{-2; 9; -1; 3; -6; 11; -14; 17; -16; 14; -11; 6; -3; 1}
11a_24,{-5; 6; -1; 4; -10; 17; -22; 26; -25; 22; -16; 9; -4; 1}
11a_25,{-3; 8; 1; -4; 10; -16; 22; -25; 25; -22; 16; -9; 4; -1}
11a_26,{-5; 6; -1; 4; -10; 17; -22; 26; -25; 22; -16; 9; -4; 1}
11a_27,{-9; 2; 1; -4; 9; -15; 20; -23; 23; -20; 15; -8; 4; -1}
11a_28,{-6; 5; 1; -3; 7; -12; 16; -19; 20; -17; 13; -8; 4; -1}
11a_29,{-7; 4; 1; -3; 7; -12; 16; -18; 18; -16; 12; -7; 4; -1}
11a_30,{-5; 6; -1; 4; -9; 16; -21; 24; -24; 21; -15; 9; -4; 1}
11a_31,{0; 11; 1; -3; 8; -12; 17; -20; 20; -18; 13; -8; 4; -1}
11a_32,{-2; 9; -1; 4; -9; 15; -19; 23; -22; 19; -14; 8; -4; 1}
11a_33,{-7; 4; 1; -3; 6; -10; 13; -15; 15; -12; 10; -6; 3; -1}
11a_34,{-3; 8; 1; -3; 7; -11; 16; -19; 19; -17; 13; -8; 4; -1}
11a_35,{-5; 6; -1; 3; -7; 12; -16; 20; -19; 17; -13; 8; -4; 1}
11a_36,{-6; 5; 1; -4; 8; -13; 17; -19; 20; -16; 12; -7; 3; -1}
11a_37,{-4; 7; 1; -3; 7; -10; 13; -15; 14; -12; 9; -5; 3; -1}
